date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:40	1022/1022	---M--	200	added ('OK')	image/png	etag:%2282974187eb5ca7af3250655d5968d35555d1c245%22	https://demo.createdbycocoon.com/moodle/edumy/2/pluginfile.php/1/theme_edumy/headerlogo1/1583196004/header-logo.png	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/pluginfile.php/1/theme_edumy/headerlogo1/1583196004/header-logo.png	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:44%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/pluginfile.php/1/theme_edumy/headerlogo2/1583196004/header-logo2.png	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/pluginfile.php/1/theme_edumy/headerlogo2/1583196004/header-logo2.png	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:41	1940/1940	---M--	200	added ('OK')	image/png	etag:%22f95f12234987119452839e677194ad72d182ba9d%22	https://demo.createdbycocoon.com/moodle/edumy/2/pluginfile.php/1/theme_edumy/headerlogo2/1583196004/header-logo2.png	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/pluginfile.php/1/theme_edumy/headerlogo2/1583196004/header-logo2.png	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:41	49153/49153	---MC-	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Lenovo/Desktop/Edumy/www.google-analytics.com/analytics.js	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:44%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/course/index.php	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/course/index.php	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:41	79882/79882	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2004:08:44%20GMT	https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=3	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/course/indexbc66.html	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:45%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple.js	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/yui_comboabf9.php	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:42	74147/74147	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2004:08:45%20GMT	https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/course/index.html	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:46%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/lib/javascript.php/1583196004/lib/javascript-static.js	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/lib/javascript.php/1583196004/lib/javascript-static.js	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:43	1293403/1293403	---MCZ	200	added ('OK')	application/javascript	etag:%228e0bc3eb6d64ef742569cc05b107bdc7fea200c4%22	https://demo.createdbycocoon.com/moodle/edumy/2/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple.js	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/comboabf9	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
